"key","message","comment","context"
"File removed","Đã xóa tệp",,
"File type","Loại tệp",,
"Files","Tập tin",,
"Filter custom","Bộ lọc tùy chỉnh",,
"Filter files","Lọc tệp",,
"Filter view","Chế độ xem bộ lọc",,
"Filters","Bộ lọc",,
"Flags","Cờ",,
"Force password change","Bắt buộc thay đổi mật khẩu",,
"Force the user to change their password at next login.","Buộc người dùng thay đổi mật khẩu của họ ở lần đăng nhập tiếp theo.",,
"Form","Biểu mẫu",,
"Form record","Hồ sơ biểu mẫu",,
"Form records","Hồ sơ biểu mẫu",,
"Form view","Chế độ xem biểu mẫu",,
"Form width","Chiều rộng biểu mẫu",,
"French","Pháp",,
"From","Từ",,
"Fullname","Họ và tên",,
"Fully qualified object name or wild card package name.","Tên đối tượng đủ điều kiện hoặc tên gói thẻ đại diện.",,
"Gantt","Gantt",,
"General","Chung",,
"Green","Xanh lá",,
"Grey","Xám",,
"Grid","Lưới",,
"Grid view","Chế độ hiển thị theo ô",,
"Group","Nhóm",,
"Group by","Nhóm theo",,
"Groups","Nhóm",,
"Help","Trợ giúp",,
"Help Management","Quản lý trợ giúp",,
"Help link","Liên kết trợ giúp",,
"Hidden","Ẩn",,
"Hidden menu","Menu ẩn",,
"Hide if","Ẩn nếu",,
"High","Cao",,
"Home action",,,
"Icon",,,
"Icon background",,,
"Important","Quan trọng",,
"In Progress","Đang tiến hành",,
"Inbox","Hộp thư đến",,
"Inbox is empty!","Hộp thư đến trống!",,
"Include if","Bao gồm nếu",,
"Increment","Tăng",,
"Indigo","Xanh đậm",,
"Information","Thông tin",,
"Initial","Khởi tạo",,
"Inline","Nội tuyến",,
"Integer",,,
"Internal Server Error","Lỗi máy chủ nội bộ",,
"Invalid XML.","XML không hợp lệ.",,
"Invalid cron :","Cron không hợp lệ:",,
"Invalid field value.","Giá trị trường không hợp lệ.",,
"Invalid permission","Quyền không hợp lệ",,
"Invalid use of action-record: %s, must be the last action.","Action-record không hợp lệ: %s, phải là hành động cuối cùng.",,
"Inverse","Inverse",,
"Is archived","Được lưu trữ",,
"Is directory","Là thư mục",,
"Is read","Được đọc",,
"Is starred","Được gắn dấu sao",,
"Items",,,
"Job","Công việc ",,
"Job Management","Quản lý công việc",,
"Job has been updated.","Công việc đã được cập nhật.",,
"Json","Json",,
"Json model","Mô hình JSON",,
"Kanban","Kanban",,
"Key","Khóa",,
"Label","Nhãn mác",,
"Language","Ngôn ngữ",,
"Last modified","Sửa đổi lần cuối",,
"Last password update date","Ngày cập nhật mật khẩu cuối cùng",,
"Left menu","Menu trái",,
"Light Blue","Xanh nhạt",,
"Light Green","Xanh lợt",,
"Lime",,,
"Link","Liên kết",,
"Login","Đăng nhập",,
"Low","Thấp",,
"Mail","Mail",,
"ManyToMany","M2M",,
"ManyToOne","M2O",,
"Mapped by","Ánh xạ bởi",,
"Max","Tối đa",,
"Max size","Kích thước tối đa",,
"Max size 4MB.","Kích thước tối đa 4MB.",,
"Members","Thành viên",,
"Menu","Menu",,
"Menu Help","Menu trợ giúp",,
"Menu Item","Menu vật phẩm",,
"Menu Items","Menu vật phẩm",,
"Menu background","Nền menu",,
"Menu icon","Biểu tượng menu",,
"Menu order","Trình tự menu",,
"Menu parent","Menu cha",,
"Menu title","Tiêu đề menu",,
"Menu top","Menu phía trên",,
"Menus","Menu",,
"Message","Lời nhắn",,
"Meta file","Tệp meta",,
"Meta model","Mô hình meta",,
"Meta permission","Quyền meta",,
"MetaScheduleParam","Tham số lịch trình meta",,
"Min","Tối thiểu",,
"Min size","Kích thước tối thiểu",,
"Mobile menu","Menu di động",,
"Model","Mô hình",,
"Model Management","Quản lý mô hình",,
"Model field","Trường mô hình",,
"Models","Mô hình",,
"Modified","Sửa đổi",,
"Module","Mô -đun",,
"Module Management","Quản lý mô -đun",,
"Module to check","Mô -đun để kiểm tra",,
"Modules","Mô -đun",,
"My Documents","Tai liệu của tôi",,
"My Teams","Đội của tôi",,
"My open tasks","Nhiệm vụ đang thực hiện của tôi",,
"Name","Tên",,
"Name field","Trường tên",,
"Name length should be greater than 2.","Chiều dài tên phải lớn hơn 2.",,
"Navigation","Điều hướng",,
"New","Tạo mới",,
"New password","Mật khẩu mới",,
"New password of the user","Mật khẩu mới của người dùng",,
"Next","Tiếp theo",,
"No archived messages!","Không có tin nhắn lưu trữ!",,
"No help","Không giúp được gì",,
"No important messages!","Không có thông điệp quan trọng!",,
"Normal","Bình thường",,
"Not allowed","Không cho phép",,
"Object","Đối tượng",,
"Object name","Tên đối tượng",,
"On change",,,
"On click",,,
"On new",,,
"On save",,,
"OneToMany","O2M",,
"OneToOne","O2O",,
"Only if","Chỉ nếu",,
"Only use this menu-item if the given expression is true (ie `if` condition).","Chỉ sử dụng menu-item này nếu biểu thức đã cho là đúng (nghĩa là điều kiện `if`).",,
"Only use this menu-item if the given module is installed (ie `if-module` condition).","Chỉ sử dụng menu-item này nếu mô-đun đã cho được cài đặt (nghĩa là điều kiện `if-module`).",,
"Options","Tùy chọn",,
"Orange","Cam",,
"Order","Sắp xếp",,
"Order by","Sắp xếp theo",,
"Overview","Tổng quan",,
"Owner","Người sở hữu",,
"Package","Đóng gói",,
"Padding",,,
"Panel",,,
"Params","Tham số",,
"Parent","Cha",,
"Parent menu","Menu cha",,
"Password","Mật khẩu",,
"Password doesn't match configured pattern.","Mật khẩu không khớp với mẫu được cấu hình.",,
"Password of the new user","Mật khẩu của người dùng mới",,
"Permission","Quyền",,
"Permissions","Quyền",,
"Permissions (fields)","Quyền (Trường)",,
"Personal","Cá nhân",,
"Personalized View","Chế độ xem được cá nhân hóa",,
"Personalized Views","Chế độ xem được cá nhân hóa",,
"Photo","Ảnh",,
"Pink","Hồng",,
"Placeholder",,,
"Please change your password.","Vui lòng thay đổi mật khẩu của bạn.",,
"Please log back in.","Vui lòng đăng nhập lại.",,
"Please refresh your browser to see updated views.","Vui lòng làm mới trình duyệt của bạn để xem các chế độ xem được cập nhật.",,
"Precision","Độ chính xác",,
"Preferences","Ưu tiên",,
"Prefix","Tiền tố",,
"Priority","Mức độ ưu tiên",,
"Purple","Tím",,
"Read","Đọc",,
"Readonly","Chỉ đọc",,
"Readonly if","Chỉ đọc nếu",,
"Recipients","Người nhận",,
"Record created","Bản ghi đã được tạo",,
"Record updated","Bản ghi đã được cập nhật",,
"Record was updated or deleted by another transaction","Bản ghi đã được cập nhật hoặc xóa bởi một luồng khác",,
"Red","Đỏ",,
"Reference error","Lỗi tham chiếu",,
"Regex","REGEX",,
"Related","Liên quan tới",,
"Related document id","ID tài liệu liên quan",,
"Related document model","Mô hình tài liệu liên quan",,
"Related document name","Tên tài liệu liên quan",,
"Related model","Mô hình liên quan",,
"Related name","Tên liên quan",,
"Related object","Đối tượng liên quan",,
"Relationship","Mối quan hệ",,
"Remove","Loại bỏ",,
"Replies","Trả lời",,
"Required","Bắt buộc",,
"Required if","Bắt buộc nếu",,
"Restart jobs","Khởi động lại công việc",,
"Restore all…","Khôi phục lại tất cả…",,
"Role","Vai trò",,
"Roles","Vai trò",,
"Root","Gốc",,
"Rule","Qui định",,
"Rules","Quy tắc",,
"SQL error","Lỗi SQL",,
"Scale","Tỉ lệ",,
"Schedule","Lịch trình",,
"Schedules","Lịch trình",,
"Schema","Lược đồ",,
"Search","Tìm kiếm",,
"Select","Chọn",,
"Select Item","Chọn mục",,
"Selection","Lựa chọn",,
"Selects","Chọn",,
"Separator","Phân tách",,
"Sequence","Trình tự",,
"Sequence order","Thứ tự trình tự",,
"Server expression to check whether to use this field.",,,
"Shared","Chia sẻ",,
"Shared with me","Chia sẻ với tôi",,
"Show Model","Hiển thị mô hình",,
"Show if","Hiển thị nếu",,
"Show in top menu","Hiển thị trong menu trên cùng",,
"Show permissions","Hiển thị quyền",,
"Single tab","Tab duy nhất",,
"Size","Kích thước",,
"Size in bytes","Kích thước (byte)",,
"Spacer",,,
"Specify whether the members of this group are technical staff.","Chỉ định xem các thành viên của nhóm này có phải là nhân viên kỹ thuật hay không.",,
"Specify whether this action can be used as home action.",,,
"Status","Trạng thái",,
"Stop service","Dừng dịch vụ",,
"String",,,
"Style",,,
"Subject","Chủ đề",,
"Subscribe","Đăng kí",,
"Success","Thành công",,
"Suffix","Hậu tố",,
"Summary","Tóm tắt",,
"System notification","Thông báo hệ thống",,
"Table",,,
"Tag",,,
"Tag count","Đếm thẻ",,
"Tag label","Nhãn thẻ",,
"Tag method","Phương thức thẻ",,
"Tag style","Phong cách thẻ",,
"Tags","Thẻ",,
"Target custom model",,,
"Target json model",,,
"Target model","Mô hình mục tiêu",,
"Task","Nhiệm vụ",,
"Task closed","Nhiệm vụ đã đóng",,
"Task created","Nhiệm vụ được tạo ra",,
"Task date","Ngày làm nhiệm vụ",,
"Task deadline","Hạn chót nhiệm vụ",,
"Task duration","Thời lượng nhiệm vụ",,
"Tasks","Nhiệm vụ",,
"Tasks assigned to me","Nhiệm vụ được giao cho tôi",,
"Tasks created by me","Nhiệm vụ do tôi tạo ra",,
"Tasks due","Nhiệm vụ quá hạn/ Nhiệm vụ chậm tiến trình",,
"Tasks todo","Nhiệm vụ cần làm",,
"Teal","Teal",,
"Team","Đội",,
"Teams","Đội",,
"Teamwork","Làm việc nhóm",,
"Technical staff","Nhân viên kỹ thuật",,
"The addition data for UI widgets","Dữ liệu bổ sung cho các tiện ích giao diện người dùng",,
"The color to use for tags","Màu sắc sử dụng cho các thẻ",,
"The image icon to show in UI widgets","Icon hình ảnh sẽ hiển thị trong các tiện ích giao diện người dùng",,
"The record(s) can't be updated as it violates unique constraint.","Không thể cập nhật (các) bản ghi vì nó vi phạm ràng buộc duy nhất.",,
"The scheduler service has been stopped.","Dịch vụ lập lịch đã bị dừng.",,
"The scheduler service is disabled.","Dịch vụ Lập lịch bị vô hiệu hóa.",,
"The select item title","Tiêu đề mục đã chọn",,
"The select item value","Giá trị mục đã chọn",,
"Theme","Theme",,
"This may terminate any running jobs. Are sure to continue ?","Điều này có thể chấm dứt mọi công việc đang chạy. Có chắc chắn để tiếp tục không?",,
"This will update job with current settings. Are sure to continue ?","Điều này sẽ cập nhật công việc với cài đặt hiện tại. Có chắc chắn để tiếp tục không?",,
"Time","Lần",,
"Title","Tiêu đề",,
"Tooltip","Tooltip",,
"Top menu",,,
"Topic","Chủ đề",,
"Topic closed","Chủ đề đã đóng",,
"Topic created","Chủ đề được tạo ra",,
"Topic re-opened","Chủ đề mở lại",,
"Topics","Chủ đề",,
"Translation","Dịch",,
"Tree","Cây",,
"Type","Loại",,
"Unexpected database error occurred on the server.","Đã xảy ra lỗi cơ sở dữ liệu không mong muốn trên máy chủ.",,
"Unique constraint violation","Vi phạm ràng buộc duy nhất",,
"Unique message identifier","Mã nhận dạng tin nhắn duy nhất",,
"Unread","Chưa đọc",,
"Unsubscribe","Hủy đăng ký",,
"Update","Cập nhật",,
"Updated by","Cập nhật bởi",,
"Updated on","Cập nhật vào",,
"Urgent","Khẩn cấp",,
"Used as home action","ĐƯợc sử dụng như home action",,
"User","Người sử dụng",,
"User Management","Quản lý người dùng",,
"User preferences","Tùy chọn người dùng",,
"Users","Người dùng",,
"Valid cron. Next execution dates are:","Cron hợp lệ. Ngày thực hiện tiếp theo là:",,
"Validate","Xác thực",,
"Validation error","Lỗi xác thực",,
"Value","Giá trị",,
"Value Expression","Biểu thức giá trị",,
"Version","Phiên bản",,
"View",,,
"View Attribute",,,
"View Attributes",,,
"View Help",,,
"View Management",,,
"View customization",,,
"View customization permission",,,
"Views",,,
"Visibility","Hiển thị",,
"Visible","Hữu hình",,
"Visible in grid","Hiển thị dạng lưới",,
"Warning","Cảnh báo",,
"Whether to grant create access.","Có cấp quyền tạo không.",,
"Whether to grant export access.","Có cấp quyền xuất không.",,
"Whether to grant read access.","Có cấp quyền đọc không.",,
"Whether to grant remove access.","Có cấp quyền xóa không.",,
"Whether to grant write access.","Có cấp quyền sửa không.",,
"Whether to show help messages.","Có hiển thị thông điệp trợ giúp.",,
"Whether to use tabbed ui.",,,
"White","Trắng",,
"Widget","Widget",,
"Widget Attributes","Thuộc tính Widget",,
"Widget attrs","Widget attrs",,
"Write","Viết",,
"Wrong current password","Mật khẩu hiện tại sai",,
"Wrong username or password","Tên người dùng hoặc mật khẩu sai",,
"Xml","XML",,
"Yellow","Vàng",,
"You are not allowed to customize views.","Bạn không được phép tùy chỉnh chế độ xem.",,
"You are not allowed to execute this action.","Bạn không được phép thực hiện hành động này.",,
"You are not allowed to remove this filter","Bạn không được phép xóa bộ lọc này",,
"You are not allowed to share custom views.","Bạn không được phép chia sẻ chế độ xem tùy chỉnh.",,
"You are not authorized to create this resource.","Bạn không được ủy quyền để tạo tài nguyên này.",,
"You are not authorized to export the data.","Bạn không được phép xuất dữ liệu.",,
"You are not authorized to read this resource.","Bạn không được phép đọc tài nguyên này.",,
"You are not authorized to remove this resource.","Bạn không được phép loại bỏ tài nguyên này.",,
"You are not authorized to update this resource.","Bạn không được phép cập nhật tài nguyên này.",,
"You can't create document here.","Bạn không thể tạo tài liệu ở đây.",,
"You can't move document here.","Bạn không thể di chuyển tài liệu ở đây.",,
"Your current password","Mật khẩu hiện tại của bạn",,
"action-attrs",,,
"action-condition",,,
"action-export",,,
"action-group",,,
"action-import",,,
"action-method",,,
"action-record",,,
"action-report",,,
"action-script",,,
"action-validate",,,
"action-view",,,
"action-ws",,,
"added comment","Đã thêm bình luận",,
"confirm new password","xác nhận mật khẩu mới",,
"confirm password","Xác nhận mật khẩu",,
"current password","Mật khẩu hiện tại",,
"form::Select",,,
"important","Quan trọng",,
"login name","Tên đăng nhập",,
"new password","Mật khẩu mới",,
"password","Mật khẩu",,
"success","Thành công",,
"updated document","Cập nhật tài liệu",,
"user group","Nhóm người dùng",,
"user name","Tên người dùng",,
"user.password.pattern-title","pattern-title",,
"your current password","Mật khẩu hiện tại của bạn",,
"{0} customized view is deleted.","Chế độ xem tùy chỉnh {0} đã bị xóa.",,
"{0} customized views are deleted.","Các chế độ xem tùy chỉnh {0} đã bị xóa.",,
