"key","message","comment","context"
"Edit event","Chỉnh sửa sự kiện",,
"Edit...","Chỉnh sửa...",,
"Email","E-mail",,
"Error","Lỗi",,
"Expand","Mở rộng",,
"Expanded","Mở rộng",,
"Export","Xuất",,
"Export full","Xuất đầy đue",,
"Failed","Thất bại",,
"Failed!","Thất bại!",,
FALSE,"SAI",,
"Feb","Tháng 2",,
"February","Tháng 2",,
"Field Name","Tên trường",,
"Field Type","Loại trường",,
"File does not exist.","Tập tin không tồn tại.",,
"File upload","Tải lên tệp",,
"File {0} does not exist.","Tệp {0} không tồn tại.",,
"Filter","Lọc",,
"Filters","Bộ lọc",,
"Filters ({0})","Bộ lọc ({0})",,
"Fixed line","Đường dây cố định",,
"Fixed line or mobile","Đường dây cố định hoặc di động",,
"Folder","Thư mục",,
"Follow: {0}","Theo dõi: {0}",,
"Followers","Người theo dõi",,
"Font","Phông chữ",,
"Font size","Cỡ chữ",,
"Form","Biểu mẫu",,
"Formatted","Định dạng",,
"Fr",,,
"Free Memory","Giải phóng bộ nhớ",,
"Fri","Thứ 6",,
"Friday","Thứ 6",,
"Gantt",,,
"Go","Đi",,
"Grid","Lưới",,
"Grid requires at least one field.","Lưới cần có ít nhất một trường.",,
"Group by","Nhóm theo",,
"Grouped","Nhóm",,
"Header 1",,,
"Header 2",,,
"Header 3",,,
"Header 4",,,
"Header 5",,,
"Header 6",,,
"Hide","Ẩn",,
"Hide legend","Ẩn chú giải",,
"Home",,,
"Hour","Giờ",,
"Hours","Giờ",,
"Indent","Thụt lề",,
"Information","Thông tin",,
"Insert","Chèn",,
"Insert image","Chèn hình ảnh",,
"Insert link","Chèn đường dẫn",,
"Internal Server Error","Lỗi máy chủ nội bộ",,
"Invalid country code","Mã quốc gia không hợp lệ",,
"Invalid length","Độ dài không hợp lệ",,
"Invalid number","Số không hợp lệ",,
"Invalid number type","Kiểu số không hợp lệ",,
"Invalid permissions","Quyền không hợp lệ",,
"Invalid use of ""{0}"" action, must be the first action.","Hành động ""{0}"" sử dụng không hợp lệ, phải là hành động đầu tiên.",,
"Invalid use of ""{0}"" action, must be the last action.","Hành động ""{0}"" sử dụng không hợp lệ, phải là hành động cuối cùng.",,
"Italic (Ctrl+I)","Nghiêng (Ctrl + I)",,
"Jan","Tháng 1",,
"January","Tháng 1",,
"Java Runtime",,,
"Java Version","Phiên bản Java",,
"Jul","Tháng 7",,
"July","Tháng 7",,
"Jun","Tháng 6",,
"June","Tháng 6",,
"Justify","Căn đều",,
"Kanban","Kanban",,
"Keyboard Shortcuts","Các phím tắt bàn phím",,
"L","L",,
"Language","Ngôn ngữ",,
"Large","Lớn",,
"Larger","Lớn hơn",,
"Last access time","Thời gian truy cập cuối cùng",,
"Last modified...","Sửa đổi lần cuối...",,
"Left","Bên trái",,
"Link","Liên kết",,
"Loading","Đang tải",,
"Log in","Đăng nhập",,
"Log in attempt failed.","Đăng nhập không thành công.",,
"Log in time","Đăng nhập vào thời gian",,
"Log in with %s","Đăng nhập bằng %s",,
"Log out","Đăng xuất",,
"Mar","Tháng 3",,
"March","Tháng 3",,
"Mark as important","Đánh dấu là quan trọng",,
"Mark as not important","Đánh dấu là không quan trọng",,
"Mark as read","Đánh dấu là đã đọc",,
"Mark as unread","Đánh dấu là chưa đọc",,
"Mass Update","Cập nhật hàng loạt",,
"Max Memory","Bộ nhớ tối đa",,
"May","Tháng 5",,
"Medium","Trung bình",,
"Memory Information","Thông tin bộ nhớ",,
"Milestone","Mốc thời gian",,
"Minute","Phút",,
"Minutes","Phút",,
"Mo",,,
"Mobile","Di động",,
"Model…","Mô hình…",,
"Modified","Sửa đổi",,
"Mon","Thứ hai",,
"Monday","Thứ hai",,
"Month","Tháng",,
"Months","Tháng",,
"More","Hơn",,
"More actions","Nhiều hành động hơn",,
"More...","Hơn...",,
"Move to archive","Di chuyển đến lưu trữ",,
"Move to inbox","Di chuyển đến hộp thư đến",,
"My Filters","Bộ lọc của tôi",,
"N/A",,,
"New","Tạo mới",,
"New Document","Tài liệu mới",,
"New Folder","Thư mục mới",,
"New Spreadsheet","Trang tính mới",,
"New password","Mật khẩu mới",,
"New password must be different.","Mật khẩu mới phải khác.",,
"New task","Nhiệm vụ mới",,
"Next","Tiếp theo",,
"No","Không",,
"No documents found.","Không tìm thấy tài liệu.",,
"No filters available","Không có bộ lọc có sẵn",,
"No records found.","Không có dữ liệu được tìm thấy.",,
"No results found","Không có kết quả nào được tìm thấy",,
"Normal","Bình thường",,
"Normalize","Bình thường hóa",,
"Nov","Tháng 11",,
"November","Tháng mười một",,
"Now","Hiện nay",,
"OK",,,
"Object","Đối tượng",,
"Oct","Tháng 10",,
"October","Tháng Mười",,
"Offline!","Ngoại tuyến!",,
"Operating System","Hệ điều hành",,
"Ordered list","Danh sách được sắp xếp",,
"Organize favorites...","Sắp xếp các mục yêu thích ...",,
"Orig. Value",,,
"Outdent",,,
"Owner","Chủ sở hữu",,
"Pager","Máy nhắn tin",,
"Password","Mật khẩu",,
"Pending","Đang chờ xử lý",,
"Permissions","Quyền",,
"Permissions ({0})","Quyền ({0})",,
"Permissions...","Quyền ...",,
"Personal number","Mã số cá nhân",,
"Please change your password.","Vui lòng thay đổi mật khẩu của bạn.",,
"Please correct the invalid form values.","Vui lòng sửa các giá trị biểu mẫu không hợp lệ.",,
"Please disable the adblocker as it may slow down the application.","Vui lòng tắt trình chặn quảng cáo vì nó có thể làm chậm ứng dụng.",,
"Please wait...","Vui lòng chờ...",,
"Post","Bài đăng",,
"Preferences","Ưu tiên",,
"Premium rate","Suất tiền bù",,
"Prev","Trước",,
"Print","In",,
"Project","Dự án",,
"Question","Câu hỏi",,
"Recipients","Người nhận",,
"Reference","Tham khảo",,
"Refresh","Làm mới",,
"Remember me","Nhớ tôi",,
"Remove","Loại bỏ",,
"Remove format","Loại bỏ định dạng",,
"Rename...","Đổi tên...",,
"Report attached to current object. Would you like to download?","Báo cáo đính kèm đối tượng hiện tại. Bạn có muốn tải xuống không?",,
"Reset","Cài lại",,
"Retry","Thử lại",,
"Right","Đúng",,
"Sa",,,
"Sat","Thứ 7",,
"Saturday","Thứ bảy",,
"Save","Lưu",,
"Save as","Lưu thành",,
"Save column widths","Lưu chiều rộng cột",,
"Save filter as","Lưu bộ lọc như",,
"Search","Tìm kiếm",,
"Search Objects","Đối tượng tìm kiếm",,
"Search more...","Tìm kiếm thêm ...",,
"Search...","Tìm kiếm...",,
"Second","Thứ hai",,
"Select","Lựa chọn",,
"Select ""{0}""...","Chọn ""{0}"" ...",,
"Select image","Chọn ảnh",,
"Select/Deselect All","Chọn/bỏ chọn tất cả",,
"Send","Gửi",,
"Sep","Tháng 9",,
"September","Tháng chín",,
"Server is not responding.","May chủ không phản hôi.",,
"Share","Chia sẻ",,
"Shared cost","Chi phí chia sẻ",,
"Shortcuts","Phím tắt",,
"Show","Hiển thị",,
"Show Details","Hiển thị chi tiết",,
"Show archived","Hiển thị lưu trữ",,
"Show legend","Hiển thị chú giải",,
"Show translations.","Hiển thị bản dịch.",,
"Small","Nhỏ",,
"Smaller","Nhỏ hơn",,
"Sort Ascending","Sắp xếp tăng dần",,
"Sort Descending","Sắp xếp giảm dần",,
"Spreadsheet","Trang tính",,
"Stack %","Chồng %",,
"Stacked","Xếp chồng lên nhau",,
"Start time","Thời gian bắt đầu",,
"Stream","Dòng",,
"Strikethrough (Ctrl+S)","Gạch ngang (Ctrl + S)",,
"Style",,,
"Su",,,
"Subject","Chủ đề",,
"Submit","Gửi đi",,
"Success","Thành công",,
"Sun","Chủ nhật",,
"Sunday","Chủ nhật",,
"System Information","Thông tin hệ thống",,
"Task","Nhiệm vụ",,
"Task name","Tên nhiệm vụ",,
"Task will be deleted permanently, are you sure?","Nhiệm vụ sẽ bị xóa vĩnh viễn, bạn có chắc không?",,
"Tasks due","Nhiệm vụ đến hạn",,
"Tasks todo","Nhiệm vụ cần làm",,
"Text color","Màu chữ",,
"Th",,,
"The following fields are invalid:","Các trường sau không hợp lệ:",,
"The record has been updated or delete by another action.","Bản ghi đã được cập nhật hoặc xóa bằng một hành động khác.",,
"The {0}={1} event can't call 'save' action on unsaved o2m item.","Sự kiện {0} = {1} không thể 'lưu' khi mục O2M chưa được lưu.",,
"There are some invalid rows.","Có một số hàng không hợp lệ.",,
"Thu","Thứ 5",,
"Thursday","Thứ năm",,
"Time","Thời gian",,
"Time period","Khoảng thời gian",,
"Title","Tiêu đề",,
"Today","Hôm nay",,
"Toggle","Chuyển đổi",,
"Toll free",,,
"Too long","Quá dài",,
"Too short","Quá ngắn",,
"Total Memory","Tổng bộ nhớ",,
"Translation","Dịch",,
"Translations","Dịch",,
TRUE,"ĐÚNG",,
"Tu",,,
"Tue","Thứ 3",,
"Tuesday","Thứ ba",,
"Type","Loại",,
"UAN",,,
"Unarchive","Hủy lưu trữ",,
"Underline (Ctrl+U)","Gạch chân (Ctrl + U)",,
"Ungroup","Bỏ nhóm",,
"Unknown","Không xác định",,
"Unordered list","Dánh sách chưa sắp xếp",,
"Update","Cập nhật",,
"Update all","Cập nhật tất cả",,
"Update your browser!","Cập nhật trình duyệt của bạn!",,
"Updated By:","Cập nhật bởi:",,
"Updated On:","Cập nhật trên:",,
"Upload complete","Hoàn tất tải lên",,
"Uploading files...","Đang tải tệp lên ...",,
"Use offline...","Sử dụng ngoại tuyến ...",,
"Used Memory","Bộ nhớ đã sử dụng",,
"User","Người sử dụng",,
"Username","tên tài khoản",,
"Validation error","Lỗi xác nhận",,
"Value","Giá trị",,
"View","Chế độ xem",,
"View…","Chế độ xem...",,
"VoIP",,,
"Voicemail","Thư thoại",,
"Warning","Cảnh báo",,
"Warning!","Cảnh báo!",,
"We","Chúng tôi",,
"Wed","Thứ Tư",,
"Wednesday","Thứ Tư",,
"Week","Tuần",,
"Wk",,,
"Would you like to reload the current record?","Bạn có muốn tải lại bản ghi hiện tại không?",,
"Would you like to remove the filter?","Bạn có muốn loại bỏ bộ lọc không?",,
"Write your comment here","Viết nhận xét ở đây",,
"Year","Năm",,
"Years","Năm",,
"Yes","Đúng",,
"You are not allow to upload a file bigger than","Bạn không được phép tải lên một tệp lớn hơn",,
"You can't create document here.","Bạn không thể tạo tài liệu ở đây.",,
"[Last] dddd [at] LT","[Cuối cùng] dddd [tại] LT",,
"[Today at] LT","[Hôm nay tại] LT",,
"[Tomorrow at] LT","[Ngày mai tại] LT",,
"[Yesterday at] LT","[Hôm qua tại] LT",,
"a day","một ngày",,
"a few seconds","một vài giây",,
"a minute","một phút",,
"a month","một tháng",,
"a year","một năm",,
"an hour","một giờ",,
"and","và",,
"and {0} more","và {0} thêm",,
"close the current view tab","Đóng tab Xem hiện tại",,
"contains","Chứa",,
"create new record","Tạo bản ghi mới",,
"day","ngày",,
"days","ngày",,
"dddd [at] LT","dddd [tại] LT",,
"delete current/selected record(s)","Xóa (các) bản ghi hiện tại/đã chọn",,
"doesn't contain","Không chứa",,
"edit selected record","Chỉnh sửa bản ghi đã chọn",,
"equals","tương đương",,
"focus first or selected item in view","Tập trung vào mục đầu tiên hoặc mục được chọn",,
"focus left menu search box","Tập trung vào hộp tìm kiếm menu bên trái",,
"greater or equal","lớn hơn hoặc bằng",,
"greater than","lớn hơn",,
"in","Trong",,
"in %s","Trong %s",,
"in range","Trong phạm vi",,
"in the current","Ở thời điểm hiện tại",,
"in the next","ở phần tiếp theo",,
"in the past","trong quá khứ",,
"is current group","là nhóm hiện tại",,
"is current user","là người dùng hiện tại",,
"is empty","Rỗng",,
"is false","Sai",,
"is not empty","Không trống",,
"is not null","không rỗng",,
"is null","rỗng",,
"is true","đúng",,
"less or equal","Nhỏ hơn hoặc bằng",,
"less than","nhỏ hơn",,
"load more","Tải tiếp",,
"month","tháng",,
"months","tháng",,
"name","Tên",,
"navigate to next page/record","Chuyển đến trang/bản ghi tiếp theo",,
"navigate to previous page/record","Chuyển đến trang/ bản ghi trước",,
"no tasks","không có nhiệm vụ",,
"not equal","không bằng nhau",,
"not in","không có trong",,
"not in range","không trong phạm vi",,
"or","hoặc",,
"quarter","quý",,
"quarters","quý",,
"refresh current view","Làm mới chế độ xem hiện tại",,
"replies ({0} of {1})","Trả lời ({0} của {1})",,
"save current record","Lưu bản ghi hiện tại",,
"search for records","Tìm kiếm bản ghi",,
"toggle left menu","Chuyển đổi menu bên trái",,
"value","giá trị",,
"week","tuần",,
"weeks","tuần",,
"will be deleted","sẽ bị xóa",,
"year","năm",,
"years","năm",,
"{0} of {1}","{0} của {1}",,
"{0} records exported.","{0} Bản ghi được xuất.",,
"{0} task","{0} Nhiệm vụ",,
"{0} tasks","{0} Nhiệm vụ",,
"{0} to {1} of {2}","{0} đến {1} của {2}",,
"⌃",,,
"⌤",,,
"⌥",,,
